,Columns,pandas_dtype,python_type
0,StartDate,object,str
1,EndDate,object,str
2,q0001,object,str
3,q0002,object,str
4,q0004_0001,object,str
5,q0004_0002,object,str
6,q0004_0003,object,str
7,q0004_0004,object,str
8,q0004_0005,object,str
9,q0004_0006,object,str
10,q0005,object,str
11,q0007_0001,object,str
12,q0007_0002,object,str
13,q0007_0003,object,str
14,q0007_0004,object,str
15,q0007_0005,object,str
16,q0007_0006,object,str
17,q0007_0007,object,str
18,q0007_0008,object,str
19,q0007_0009,object,str
20,q0007_0010,object,str
21,q0007_0011,object,str
22,q0008_0001,object,str
23,q0008_0002,object,str
24,q0008_0003,object,str
25,q0008_0004,object,str
26,q0008_0005,object,str
27,q0008_0006,object,str
28,q0008_0007,object,str
29,q0008_0008,object,str
30,q0008_0009,object,str
31,q0008_0010,object,str
32,q0008_0011,object,str
33,q0008_0012,object,str
34,q0009,object,str
35,q0010_0001,object,float
36,q0010_0002,object,float
37,q0010_0003,object,float
38,q0010_0004,object,float
39,q0010_0005,object,float
40,q0010_0006,object,float
41,q0010_0007,object,float
42,q0010_0008,object,float
43,q0011_0001,object,float
44,q0011_0002,object,float
45,q0011_0003,object,float
46,q0011_0004,object,float
47,q0011_0005,object,float
48,q0012_0001,object,float
49,q0012_0002,object,float
50,q0012_0003,object,float
51,q0012_0004,object,float
52,q0012_0005,object,float
53,q0012_0006,object,float
54,q0012_0007,object,float
55,q0013,object,float
56,q0014,object,float
57,q0015,object,float
58,q0017,object,str
59,q0018,object,str
60,q0019_0001,object,float
61,q0019_0002,object,float
62,q0019_0003,object,float
63,q0019_0004,object,float
64,q0019_0005,object,float
65,q0019_0006,object,float
66,q0019_0007,object,float
67,q0020_0001,object,str
68,q0020_0002,object,str
69,q0020_0003,object,str
70,q0020_0004,object,str
71,q0020_0005,object,str
72,q0020_0006,object,str
73,q0021_0001,object,str
74,q0021_0002,object,str
75,q0021_0003,object,str
76,q0021_0004,object,str
77,q0022,object,str
78,q0024,object,str
79,q0025_0001,object,str
80,q0025_0002,object,str
81,q0025_0003,object,str
82,q0026,object,str
83,q0028,object,str
84,q0029,object,str
85,q0030,object,str
86,q0034,object,str
87,q0035,object,str
88,q0036,object,str
89,race2,object,str
90,racethn4,object,str
91,educ3,object,str
92,educ4,object,str
93,age3,object,str
94,kids,object,str
95,orientation,object,str
96,weight,float64,float64
